Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Opening Gap,Close - Open,WeekDay,Abs(Diff),Distance from Median,
19-Feb-2020,12090.6,12134.7,12042.1,12125.9,514030605,17610.89,,,4,,,
20-Feb-2020,12119,12152,12071.45,12080.85,502875583,18831.51,-7,-38,5,38,,
24-Feb-2020,12012.55,12012.55,11813.4,11829.4,491224913,19421.04,,,2,,,
25-Feb-2020,11877.5,11883.05,11779.9,11797.9,461349973,18510.82,,,3,,,
26-Feb-2020,11738.55,11783.25,11639.6,11678.5,567990976,21887.07,,,4,,,
27-Feb-2020,11661.25,11663.85,11536.7,11633.3,609266324,21623.47,-17,-28,5,28,,
28-Feb-2020,11382,11384.8,11175.05,11201.75,810523106,32297.15,,,6,65.6999999999989,,
02-Mar-2020,11387.35,11433,11036.25,11132.75,681148567,24204.55,,,2,,,
03-Mar-2020,11217.55,11342.25,11152.55,11303.3,696919348,23281.2,,,3,,,
04-Mar-2020,11351.35,11356.6,11082.15,11251,798021596,26928.46,,,4,,,
05-Mar-2020,11306.05,11389.5,11244.6,11269,1353209029,26980.65,55,-37,5,37,,
06-Mar-2020,10942.65,11035.1,10827.4,10989.45,1811564187,26455.29,,,6,573.750000000002,,
09-Mar-2020,10742.05,10751.55,10294.45,10451.45,1566119057,35151.79,,,2,364.550000000003,,
11-Mar-2020,10334.3,10545.1,10334,10458.4,1219079693,32548.47,,,4,,,
12-Mar-2020,10039.95,10040.75,9508,9590.15,1344263317,39283.97,-418,-450,5,450,,
13-Mar-2020,9107.6,10159.4,8555.15,9955.2,1389061775,44167.89,,,6,849.950000000001,,
16-Mar-2020,9587.8,9602.2,9165.1,9197.4,898523271,29181.8,,,2,279.400000000001,,
17-Mar-2020,9285.4,9403.8,8915.6,8967.05,936185892,28004.16,,,3,,,
18-Mar-2020,9088.45,9127.55,8407.05,8468.8,1517275761,39256.71,,,4,,,
19-Mar-2020,8063.3,8575.45,7832.55,8263.45,926508824,34274.23,-405,200,5,200,,
20-Mar-2020,8284.45,8883,8178.2,8745.45,1072263600,37321.25,,,6,,,
23-Mar-2020,7945.7,8159.25,7583.6,7610.25,654151814,23891.9,,,2,561.700000000001,,
24-Mar-2020,7848.3,8036.95,7511.1,7801.05,739354439,28282.09,,,3,172.15,,
25-Mar-2020,7735.15,8376.75,7714.75,8317.85,738114713,28482.01,,,4,,,
26-Mar-2020,8451,8749.05,8304.9,8641.45,866534643,32228.31,133,190,5,190,,
27-Mar-2020,8949.1,9038.9,8522.9,8660.25,801923401,31336.86,,,6,33.3500000000004,,
30-Mar-2020,8385.95,8576,8244,8281.1,593953051,24724.44,,,2,26.0499999999993,,
31-Mar-2020,8529.35,8678.3,8358,8597.75,713390935,27401.3,,,3,234.6,,
01-Apr-2020,8584.1,8588.1,8198.35,8253.8,507509685,21307.3,,,4,,,
03-Apr-2020,8356.55,8356.55,8055.8,8083.8,697752438,26561.18,,,6,,,
07-Apr-2020,8446.3,8819.4,8360.95,8792.2,815245226,35206.69,,,3,259.199999999998,,
08-Apr-2020,8688.9,9131.7,8653.9,8748.75,897562690,37641.68,,,4,,,
