"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"839225","OPTIND","BSESEN","OPTION","24-Sep-2026","74200","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",43420,0,20,5,"BSE SENSEX","","","","",0.05,2721.9,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839226","OPTIND","BSESEN","OPTION","24-Sep-2026","76500","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1510040,0,20,5,"BSE SENSEX","","","","",0.05,148.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839227","OPTIND","BSESEN","OPTION","24-Sep-2026","78800","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",20760,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839230","OPTIND","BSESEN","OPTION","24-Sep-2026","81200","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",3850.4,9108.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839231","OPTIND","BSESEN","OPTION","24-Sep-2026","83500","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",6149.7,11408,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839235","OPTIND","BSESEN","OPTION","24-Sep-2026","70500","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",1587.95,6846.25,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
"839236","OPTIND","BSESEN","OPTION","24-Sep-2026","72800","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1440,0,20,5,"BSE SENSEX","","","","",0.05,4707.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839240","OPTIND","BSESEN","OPTION","24-Sep-2026","82800","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",800,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839242","OPTIND","BSESEN","OPTION","24-Sep-2026","78200","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",1000,0,20,5,"BSE SENSEX","","","","",852.55,6109.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7482825,"SENSEX"
"839243","OPTIND","BSESEN","OPTION","24-Sep-2026","71100","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",988.2,6246.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7680848,"SENSEX"
