Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,40912,50,ULTRACEMCO,ULTRACEMCO28APR26P9000,28-APR-2026,OPTSTK,PE,9000,0.05,
NFO,40911,50,ULTRACEMCO,ULTRACEMCO28APR26C9000,28-APR-2026,OPTSTK,CE,9000,0.05,
NFO,40910,65,NIFTY,NIFTY07APR26C25250,07-APR-2026,OPTIDX,CE,25250,0.05,
NFO,40909,65,NIFTY,NIFTY07APR26P25200,07-APR-2026,OPTIDX,PE,25200,0.05,
NFO,40908,65,NIFTY,NIFTY07APR26C25200,07-APR-2026,OPTIDX,CE,25200,0.05,
NFO,40907,65,NIFTY,NIFTY07APR26P25150,07-APR-2026,OPTIDX,PE,25150,0.05,
NFO,40906,425,TORNTPOWER,TORNTPOWER28APR26P2000,28-APR-2026,OPTSTK,PE,2000,0.05,
NFO,40905,425,TORNTPOWER,TORNTPOWER28APR26C2000,28-APR-2026,OPTSTK,CE,2000,0.05,
NFO,40904,425,TORNTPOWER,TORNTPOWER30MAR26P1750,30-MAR-2026,OPTSTK,PE,1750,0.05,
NFO,40903,425,TORNTPOWER,TORNTPOWER30MAR26C1750,30-MAR-2026,OPTSTK,CE,1750,0.05,
NFO,40902,65,NIFTY,NIFTY07APR26C25150,07-APR-2026,OPTIDX,CE,25150,0.05,
NFO,40901,65,NIFTY,NIFTY07APR26P25100,07-APR-2026,OPTIDX,PE,25100,0.05,
NFO,40900,250,TORNTPHARM,TORNTPHARM28APR26P5440,28-APR-2026,OPTSTK,PE,5440,0.05,
NFO,40899,250,TORNTPHARM,TORNTPHARM28APR26C5440,28-APR-2026,OPTSTK,CE,5440,0.05,
NFO,40898,200,TIINDIA,TIINDIA30MAR26P3060,30-MAR-2026,OPTSTK,PE,3060,0.05,
NFO,40897,200,TIINDIA,TIINDIA30MAR26C3060,30-MAR-2026,OPTSTK,CE,3060,0.05,
NFO,40896,65,NIFTY,NIFTY07APR26C25100,07-APR-2026,OPTIDX,CE,25100,0.05,
NFO,40895,65,NIFTY,NIFTY07APR26P25050,07-APR-2026,OPTIDX,PE,25050,0.05,
NFO,40894,65,NIFTY,NIFTY07APR26C25050,07-APR-2026,OPTIDX,CE,25050,0.05,
NFO,40893,65,NIFTY,NIFTY07APR26P25000,07-APR-2026,OPTIDX,PE,25000,0.05,
NFO,40892,600,TECHM,TECHM30MAR26P1260,30-MAR-2026,OPTSTK,PE,1260,0.05,
NFO,40891,600,TECHM,TECHM30MAR26C1260,30-MAR-2026,OPTSTK,CE,1260,0.05,
NFO,40890,65,NIFTY,NIFTY07APR26C25000,07-APR-2026,OPTIDX,CE,25000,0.05,
NFO,40889,65,NIFTY,NIFTY07APR26P24950,07-APR-2026,OPTIDX,PE,24950,0.05,
NFO,40888,65,NIFTY,NIFTY07APR26C24950,07-APR-2026,OPTIDX,CE,24950,0.05,
NFO,40887,65,NIFTY,NIFTY07APR26P24900,07-APR-2026,OPTIDX,PE,24900,0.05,
NFO,40886,175,TCS,TCS30MAR26P1680,30-MAR-2026,OPTSTK,PE,1680,0.05,
NFO,40885,175,TCS,TCS30MAR26C1680,30-MAR-2026,OPTSTK,CE,1680,0.05,
NFO,40884,65,NIFTY,NIFTY07APR26C24900,07-APR-2026,OPTIDX,CE,24900,0.05,
NFO,40883,65,NIFTY,NIFTY07APR26P24850,07-APR-2026,OPTIDX,PE,24850,0.05,
NFO,40882,65,NIFTY,NIFTY07APR26C24850,07-APR-2026,OPTIDX,CE,24850,0.05,
NFO,40881,65,NIFTY,NIFTY07APR26P24800,07-APR-2026,OPTIDX,PE,24800,0.05,
NFO,40880,65,NIFTY,NIFTY07APR26C24800,07-APR-2026,OPTIDX,CE,24800,0.05,
NFO,40879,65,NIFTY,NIFTY07APR26P24750,07-APR-2026,OPTIDX,PE,24750,0.05,
NFO,40878,65,NIFTY,NIFTY07APR26C24750,07-APR-2026,OPTIDX,CE,24750,0.05,
