open,high,low,close,average,median,stdDeviation,trend,macd,rsi,bollinger,time,diff,range,diffFromHigh
23357.20,23365.55,23353.05,23353.65,23359.898499999996,23360.025,2.9376077710727144,Sideways,DOWN,NEUTRAL,neutral,1.739169416729e+12,-3.5499999999992724,12.5,95.19999999998254
23353.55,23354.9,23347.05,23347.05,23350.73283333335,23350.45,1.7672474752814398,Sideways,DOWN,NEUTRAL,neutral,1.739169572729e+12,-6.5,7.850000000002183,100
23347.70,23358.35,23347.6,23352.10,23352.410333333315,23352.574999999997,2.7569173404768526,Sideways,DOWN,NEUTRAL,neutral,1.739169728729e+12,4.399999999997817,10.75,58.139534883720934
23352.05,23353.8,23339.85,23353.35,23348.50166666665,23349.45,3.1945417859566114,Sideways,DOWN,NEUTRAL,neutral,1.73916988173e+12,1.2999999999992724,13.950000000000728,3.2258064516179505
23353.75,23356.5,23345.35,23354.15,23351.913333333338,23352.1,2.1433281492939535,Sideways,DOWN,NEUTRAL,neutral,1.739170037727e+12,0.4000000000014552,11.150000000001455,21.0762331838407
23354.60,23359.6,23340.55,23343.50,23351.686166666655,23351.225,4.6856518904938556,Sideways,DOWN,NEUTRAL,neutral,1.739170191727e+12,-11.099999999998545,19.049999999999272,84.51443569553365
23344.25,23361.7,23338.8,23357.65,23352.15483333334,23353.375,6.448715761469269,Sideways,DOWN,NEUTRAL,neutral,1.739170342728e+12,13.400000000001455,22.900000000001455,17.685589519646356
23359.65,23360.75,23352.9,23357.15,23357.566000000013,23357.6,1.4599636981789113,Sideways,DOWN,NEUTRAL,neutral,1.739170495229e+12,-2.5,7.849999999998545,45.85987261145493
23357.35,23361,23350.05,23360.25,23355.659666666666,23355.574999999997,2.2168235282844924,Sideways,DOWN,NEUTRAL,neutral,1.739170650729e+12,2.900000000001455,10.950000000000728,6.849315068492695
23359.90,23371.25,23358.85,23365.35,23365.011333333336,23365.55,2.7576025013687353,Sideways,DOWN,NEUTRAL,neutral,1.739170804228e+12,5.44999999999709,12.400000000001455,47.580645161296474
23365.50,23365.8,23356.9,23362.55,23361.593833333336,23361.475,1.9596012278579387,Sideways,DOWN,NEUTRAL,neutral,1.739170961729e+12,-2.9500000000007276,8.899999999997817,36.51685393259322
23363.25,23363.25,23350.55,23354.05,23356.297499999997,23356.7,3.206161061144587,Sideways,DOWN,NEUTRAL,neutral,1.73917111723e+12,-9.200000000000728,12.700000000000728,72.44094488189134
23353.05,23360.4,23346,23350.50,23351.717166666665,23351.824999999997,2.9742585023647625,Sideways,DOWN,NEUTRAL,neutral,1.739171271229e+12,-2.5499999999992724,14.400000000001455,68.75000000000315
23350.05,23359.45,23342.65,23358.65,23351.64933333332,23352.3,4.150202752744499,Sideways,DOWN,NEUTRAL,neutral,1.739171426228e+12,8.600000000002183,16.799999999999272,4.761904761900637
23359.40,23360.25,23347.3,23347.85,23355.822666666674,23357.4,3.503669917228089,Sideways,DOWN,NEUTRAL,neutral,1.739171578728e+12,-11.55000000000291,12.950000000000728,95.75289575290161
23348.15,23369.7,23347.15,23368.60,23359.02716666665,23358.75,6.084703797684435,Sideways,DOWN,NEUTRAL,neutral,1.739171730728e+12,20.44999999999709,22.549999999999272,4.878048780497642
23368.90,23370.65,23357.7,23361.10,23363.398333333324,23362.35,2.9568221492376807,Sideways,DOWN,NEUTRAL,neutral,1.739171882728e+12,-7.80000000000291,12.950000000000728,73.74517374519208
23362.40,23367.15,23359.2,23363.20,23363.755166666666,23363.7,1.4534894698238718,Sideways,DOWN,NEUTRAL,neutral,1.739172037228e+12,0.7999999999992724,7.950000000000728,49.68553459119958
23361.60,23364.2,23352.4,23355.95,23357.585333333336,23356.574999999997,3.000211362924632,Sideways,DOWN,NEUTRAL,neutral,1.739172192235e+12,-5.649999999997817,11.799999999999272,69.91525423729244
23354.90,23359.35,23348.5,23357.95,23355.007666666676,23355.2,2.342550153619401,Sideways,DOWN,NEUTRAL,neutral,1.739172345731e+12,3.0499999999992724,10.849999999998545,12.903225806433225
23358.40,23363.15,23347.6,23348.85,23354.395166666654,23354.574999999997,3.9553931501461204,Sideways,DOWN,NEUTRAL,neutral,1.739172503729e+12,-9.55000000000291,15.55000000000291,91.96141479099829
23349.45,23356.95,23347.2,23351.75,23351.77316666668,23351.85,1.8177793152328867,Sideways,DOWN,NEUTRAL,neutral,1.739172659736e+12,2.2999999999992724,9.75,53.333333333340796
23350.80,23359.25,23347.65,23356.45,23353.131499999996,23352.975,2.414856672765382,Sideways,DOWN,NEUTRAL,neutral,1.739172812732e+12,5.650000000001455,11.599999999998545,24.137931034479514
