
=== BACKTEST RESULTS (sorted by Win%) ===
+--------+----------+--------+-------+--------+
| Target | StopLoss | Trades | Win%  | P&L    |
| 13     | 24       | N/A    | N/A   | N/A    |
| 13     | 25       | N/A    | N/A   | N/A    |
| 13     | 26       | N/A    | N/A   | N/A    |
| 13     | 28       | N/A    | N/A   | N/A    |
| 13     | 29       | N/A    | N/A   | N/A    |
| 13     | 30       | N/A    | N/A   | N/A    |
| 14     | 7        | N/A    | N/A   | N/A    |
| 14     | 8        | N/A    | N/A   | N/A    |
| 14     | 9        | N/A    | N/A   | N/A    |
| 14     | 5        | 0      | N/A   | 0      |
| 14     | 10       | N/A    | N/A   | N/A    |
| 14     | 11       | N/A    | N/A   | N/A    |
| 14     | 16       | N/A    | N/A   | N/A    |
| 14     | 19       | 0      | N/A   | 0      |
| 14     | 20       | N/A    | N/A   | N/A    |
| 14     | 21       | N/A    | N/A   | N/A    |
| 14     | 22       | N/A    | N/A   | N/A    |
| 14     | 23       | N/A    | N/A   | N/A    |
| 14     | 24       | N/A    | N/A   | N/A    |
| 14     | 25       | N/A    | N/A   | N/A    |
| 14     | 26       | N/A    | N/A   | N/A    |
| 14     | 27       | N/A    | N/A   | N/A    |
| 14     | 28       | N/A    | N/A   | N/A    |
| 14     | 29       | 0      | N/A   | 0      |
| 14     | 30       | 0      | N/A   | 0      |
| 15     | 5        | N/A    | N/A   | N/A    |
| 15     | 6        | N/A    | N/A   | N/A    |
| 15     | 7        | N/A    | N/A   | N/A    |
| 15     | 8        | N/A    | N/A   | N/A    |
| 15     | 9        | N/A    | N/A   | N/A    |
| 15     | 10       | N/A    | N/A   | N/A    |
| 15     | 11       | N/A    | N/A   | N/A    |
| 15     | 12       | N/A    | N/A   | N/A    |
| 15     | 19       | N/A    | N/A   | N/A    |
| 15     | 21       | N/A    | N/A   | N/A    |
| 15     | 23       | N/A    | N/A   | N/A    |
| 15     | 24       | N/A    | N/A   | N/A    |
| 15     | 20       | 0      | N/A   | 0      |
| 15     | 25       | N/A    | N/A   | N/A    |
| 15     | 26       | N/A    | N/A   | N/A    |
| 15     | 27       | N/A    | N/A   | N/A    |
| 15     | 28       | N/A    | N/A   | N/A    |
| 15     | 30       | 0      | N/A   | 0      |
| 16     | 5        | 0      | N/A   | 0      |
| 16     | 6        | N/A    | N/A   | N/A    |
| 16     | 7        | N/A    | N/A   | N/A    |
| 16     | 8        | N/A    | N/A   | N/A    |
| 16     | 9        | N/A    | N/A   | N/A    |
| 16     | 10       | N/A    | N/A   | N/A    |
| 16     | 11       | N/A    | N/A   | N/A    |
| 16     | 12       | N/A    | N/A   | N/A    |
| 16     | 13       | N/A    | N/A   | N/A    |
| 16     | 15       | 0      | N/A   | 0      |
| 16     | 16       | N/A    | N/A   | N/A    |
| 16     | 17       | N/A    | N/A   | N/A    |
| 16     | 18       | N/A    | N/A   | N/A    |
| 16     | 19       | N/A    | N/A   | N/A    |
| 16     | 20       | N/A    | N/A   | N/A    |
| 16     | 21       | N/A    | N/A   | N/A    |
| 16     | 22       | N/A    | N/A   | N/A    |
| 16     | 23       | N/A    | N/A   | N/A    |
| 16     | 24       | N/A    | N/A   | N/A    |
| 16     | 26       | N/A    | N/A   | N/A    |
| 16     | 29       | 0      | N/A   | 0      |
| 17     | 7        | N/A    | N/A   | N/A    |
| 17     | 8        | N/A    | N/A   | N/A    |
| 17     | 9        | N/A    | N/A   | N/A    |
| 17     | 11       | N/A    | N/A   | N/A    |
| 17     | 12       | N/A    | N/A   | N/A    |
| 17     | 10       | 0      | N/A   | 0      |
| 17     | 14       | N/A    | N/A   | N/A    |
| 17     | 15       | N/A    | N/A   | N/A    |
| 17     | 16       | N/A    | N/A   | N/A    |
| 17     | 18       | N/A    | N/A   | N/A    |
| 17     | 19       | N/A    | N/A   | N/A    |
| 17     | 21       | N/A    | N/A   | N/A    |
| 17     | 22       | N/A    | N/A   | N/A    |
| 17     | 23       | N/A    | N/A   | N/A    |
| 17     | 24       | N/A    | N/A   | N/A    |
| 17     | 25       | N/A    | N/A   | N/A    |
| 17     | 26       | N/A    | N/A   | N/A    |
| 17     | 27       | N/A    | N/A   | N/A    |
| 17     | 28       | 0      | N/A   | 0      |
| 17     | 30       | N/A    | N/A   | N/A    |
| 18     | 7        | N/A    | N/A   | N/A    |
| 18     | 8        | N/A    | N/A   | N/A    |
| 18     | 9        | N/A    | N/A   | N/A    |
| 18     | 10       | N/A    | N/A   | N/A    |
| 18     | 11       | N/A    | N/A   | N/A    |
| 18     | 12       | 0      | N/A   | 0      |
| 18     | 14       | N/A    | N/A   | N/A    |
| 18     | 13       | N/A    | N/A   | N/A    |
| 18     | 15       | N/A    | N/A   | N/A    |
| 18     | 17       | N/A    | N/A   | N/A    |
| 18     | 16       | N/A    | N/A   | N/A    |
| 18     | 21       | N/A    | N/A   | N/A    |
| 18     | 23       | N/A    | N/A   | N/A    |
| 18     | 24       | N/A    | N/A   | N/A    |
| 18     | 25       | N/A    | N/A   | N/A    |
| 18     | 26       | N/A    | N/A   | N/A    |
| 18     | 28       | N/A    | N/A   | N/A    |
| 18     | 29       | N/A    | N/A   | N/A    |
| 18     | 27       | 0      | N/A   | 0      |
| 18     | 30       | N/A    | N/A   | N/A    |
| 19     | 6        | N/A    | N/A   | N/A    |
| 19     | 7        | N/A    | N/A   | N/A    |
| 19     | 9        | N/A    | N/A   | N/A    |
| 19     | 10       | N/A    | N/A   | N/A    |
| 19     | 12       | N/A    | N/A   | N/A    |
| 19     | 13       | N/A    | N/A   | N/A    |
| 19     | 14       | N/A    | N/A   | N/A    |
| 19     | 15       | N/A    | N/A   | N/A    |
| 19     | 16       | N/A    | N/A   | N/A    |
