token,ltp,ltt
71988,95.7,1755834342
71975,87.75,1755834342
72040,23.8,1755834342
71989,134,1755834342
71988,96.2,1755834342
71975,87.25,1755834343
72040,23.7,1755834343
71992,57.6,1755834343
71987,108.8,1755834343
72038,32.15,1755834343
71973,69.45,1755834343
71973,69.25,1755834343
72038,32.1,1755834343
71990,74.85,1755834343
72036,43.3,1755834343
71971,54.5,1755834343
71969,43,1755834343
71992,57.45,1755834343
72036,44,1755834343
71971,55.5,1755834343
71990,75.85,1755834343
71987,109.45,1755834343
71989,135.1,1755834343
71988,97.05,1755834343
71975,88.9,1755834344
72040,24.05,1755834344
72038,32.4,1755834344
71973,70.65,1755834344
71992,58,1755834344
71969,43.95,1755834344
71975,88.4,1755834344
72040,24.15,1755834344
71989,135.4,1755834344
71988,96.7,1755834344
72036,43.75,1755834344
71990,75.3,1755834344
71987,109.8,1755834344
71989,135.15,1755834344
71988,96.6,1755834344
72038,32.7,1755834344
71973,70.2,1755834344
71992,57.9,1755834344
71969,43.3,1755834344
71990,75.9,1755834345
72036,43.95,1755834345
71971,55.3,1755834345
71975,87.6,1755834345
72040,24.35,1755834345
72038,32.8,1755834345
71992,58.1,1755834345
71973,69.85,1755834345
72036,43.85,1755834345
71971,55.15,1755834345
71990,75.7,1755834345
71987,109.1,1755834345
71989,134.55,1755834345
71988,96.75,1755834345
71975,87.5,1755834346
72040,24.6,1755834346
71989,134.05,1755834346
71988,97.35,1755834346
71973,69.9,1755834346
72038,32.9,1755834346
71992,58.3,1755834346
72038,33,1755834346
71973,69.95,1755834346
71992,58.5,1755834346
72036,44.1,1755834346
71971,55.25,1755834346
71990,76.1,1755834346
71990,76,1755834346
71987,109.5,1755834346
72036,44.05,1755834346
71971,55,1755834346
71989,134.2,1755834346
71988,97.4,1755834346
71969,43.25,1755834346
71975,87.75,1755834347
72040,24.45,1755834347
71973,69.85,1755834347
72038,32.9,1755834347
71992,58.2,1755834347
71969,43.05,1755834347
72036,44,1755834347
71971,54.85,1755834347
71990,75.7,1755834347
71987,109,1755834347
71989,133.95,1755834347
71988,96.95,1755834347
71989,133.9,1755834347
71988,97,1755834347
71975,87.35,1755834347
72040,24.4,1755834347
71975,87.15,1755834348
72040,24.45,1755834348
71992,58,1755834348
71987,108.8,1755834348
72038,32.65,1755834348
71973,69.4,1755834348
71973,69.45,1755834348
72038,32.6,1755834348
71990,75.5,1755834348
72036,43.7,1755834348
71971,54.95,1755834348
71969,43,1755834348
71992,58.05,1755834348
72036,44.1,1755834348
71971,55.05,1755834348
71990,76,1755834348
71987,108.95,1755834348
71989,134.05,1755834348
71988,97.35,1755834348
71975,87.55,1755834349
72040,24.65,1755834349
71973,69.65,1755834349
72038,33.2,1755834349
71992,58.8,1755834349
71969,42.95,1755834349
71989,133.45,1755834349
71988,97.65,1755834349
71975,87.3,1755834349
72036,44.3,1755834349
71971,54.9,1755834349
71990,76.3,1755834349
71987,108.55,1755834349
71989,133.9,1755834349
71988,97.75,1755834349
71987,108.95,1755834349
72038,33.1,1755834349
71973,69.75,1755834349
72036,44.15,1755834349
71992,58.65,1755834349
71969,43.1,1755834349
71990,76.55,1755834350
71971,54.7,1755834350
