ltp,ltt
22962.70,1738042683
22962.40,1738042683
22962.55,1738042684
22961.55,1738042684
22961.00,1738042685
22961.60,1738042685
22960.25,1738042686
22963.10,1738042686
22963.00,1738042687
22963.80,1738042687
22962.50,1738042688
22961.40,1738042688
22960.95,1738042689
22960.60,1738042689
22962.80,1738042690
22961.25,1738042690
22962.20,1738042691
22962.30,1738042691
22961.10,1738042692
22962.40,1738042692
22961.55,1738042693
22961.95,1738042693
22962.20,1738042694
22961.70,1738042694
22960.70,1738042695
22961.00,1738042695
22959.90,1738042696
22960.50,1738042696
22960.20,1738042697
22961.25,1738042697
22961.10,1738042698
22961.25,1738042698
22962.15,1738042699
22960.55,1738042699
22961.75,1738042700
22960.50,1738042700
22960.00,1738042701
22960.15,1738042701
22958.85,1738042702
22957.85,1738042702
22957.95,1738042703
22957.05,1738042703
22957.30,1738042704
22957.20,1738042704
22957.95,1738042705
22959.10,1738042705
22959.15,1738042706
22959.85,1738042706
22959.50,1738042707
22957.45,1738042707
22958.40,1738042708
22957.05,1738042708
22956.40,1738042709
22956.20,1738042709
22956.70,1738042710
22956.65,1738042710
22956.90,1738042711
22958.85,1738042711
22958.95,1738042712
22959.55,1738042713
22957.50,1738042713
22958.70,1738042714
22958.50,1738042714
22959.25,1738042715
22959.45,1738042715
22957.10,1738042716
22958.50,1738042716
22956.05,1738042717
22958.15,1738042717
22959.65,1738042718
22958.95,1738042718
22959.10,1738042719
22958.75,1738042719
22958.95,1738042720
22958.35,1738042720
22958.75,1738042721
22959.55,1738042721
22959.65,1738042722
22960.05,1738042722
22959.90,1738042723
22959.40,1738042723
22959.55,1738042724
22958.05,1738042724
22958.90,1738042725
22959.80,1738042725
22958.80,1738042726
22959.55,1738042726
22959.20,1738042727
22958.40,1738042727
22958.30,1738042728
22960.30,1738042728
22960.00,1738042729
22959.95,1738042729
22959.45,1738042730
22959.85,1738042730
22959.80,1738042731
22960.20,1738042731
22959.25,1738042732
22960.85,1738042732
